alpha_length,beta_width,gamma_length,delta_width,epsilon_type
6.252272746999323,3.157711925648727,2.3009687807771524,1.1523638860723893,type3
5.725240630027916,3.198972730083699,2.7740813692533335,1.925908163580941,type1
6.3775814866235745,2.7575893697212486,5.075236745016941,0.45084820478498666,type2
7.10411478081866,3.1498690897792314,4.8342516671628974,1.5830753517935618,type3
5.645652698979631,3.1760211635184326,3.7232131946230993,0.797004210036945,type3
5.64566632573218,2.7428288902486617,3.9664961946234563,0.5974166474806184,type3
7.150746636871135,3.852283039792245,6.0086902165876275,1.118656926434536,type3
6.476970825196914,3.2537481559920685,2.718834355648939,0.4132158349612757,type2
5.45033625967399,2.5377394962028608,4.7228913908592665,0.7792265279361417,type3
6.29032483617635,3.3323180517125466,3.4041409317163462,0.28961280163247516,type3
5.455363314965656,2.6308868818022515,3.376881082320092,2.6931911010164558,type1
5.453444304536687,3.3884463796092543,5.6938472594974545,1.2268002994985137,type3
6.040828685399808,3.5481960989731833,5.212732774218932,0.6682086139256349,type2
4.251977396934028,2.6971066031087645,5.191776959361124,1.3626247321580087,type2
4.408318199014182,3.464251735575058,6.057642700591619,1.1146306822349692,type2
5.373301350729992,3.227495798582694,3.7969667612736555,1.0320631043547506,type2
4.999350170122428,3.4034858687976306,4.960237229479136,1.666766692033003,type3
6.100825286054077,3.865620982541197,3.213930508395517,1.7757058596359518,type3
5.0863400173173945,2.9444831101187656,4.330532780379658,0.7968191278159991,type2
4.667787927891708,2.7258934493262794,3.530948224312875,0.7623781371100431,type2
7.05648847820489,2.667508795261025,3.930712898387184,0.9909607101647505,type3
5.652605670596175,2.6992015774648612,4.807476364768968,-0.5494600851990445,type2
5.896048409890977,3.016846264951935,2.319931597509088,0.04845479272910014,type1
4.657459005442831,3.1966953491711565,7.442601605206409,2.2388244432578386,type2
5.388162338644098,3.168977043711908,1.9894094085605243,2.4501754622609755,type2
5.932065749459189,3.40568879708549,1.6230280414935914,1.0107326099371525,type1
4.884675330739489,3.0555908135075,5.798275137360119,1.6381832919223824,type1
6.151829355226908,3.675019653177646,5.1533263413747665,1.4365501174530875,type3
5.341469887367392,2.9361975617076785,4.8584508780117925,3.5399494144259807,type3
5.59789418767158,4.219672741633536,4.865888096305133,2.0508769326902785,type1
5.340583511849601,3.3190369595389524,3.73844567978943,1.1027826304746173,type1
7.377390893142418,2.681422250740998,2.180832306184936,0.47378926514367636,type3
5.828797303467515,2.5895162258337217,3.893416022420958,-0.020899203395755128,type2
4.962099928966603,3.2574631385545696,2.568195387738683,1.3546323632590895,type1
6.522712277045647,2.953911002309884,5.476210730815242,0.6251734335839294,type3
4.826699770524051,3.3570202124595996,3.5011790085562358,0.11908718070576763,type2
6.013356783853947,3.253492178566624,2.30712493364518,0.7086046079756798,type1
4.213473797179786,3.0186835675575447,3.194360918690731,0.3780235172530598,type2
4.737605579414303,2.685878701230586,4.486759359525099,2.4822276426551495,type3
6.003394825771372,2.398615693385078,2.7678447870650045,1.8700462152815822,type1
6.452927261396191,2.857998570611181,2.3128921038030805,1.1939407925993708,type2
5.982235673387676,3.4182514815590928,4.188889492225766,2.3247575455564196,type1
5.744011925617761,3.1420603099759874,4.191141165151352,1.25879991381219,type2
5.59008393266089,2.5143323251538447,2.8677800113468113,0.5454240069905195,type3
4.612826747995035,3.124467798116008,2.930972582111752,2.3575742987249395,type3
